3_dig_zip,2014_accpt_loans,2014_rejected_loans,2014_Total_loans_considered,2014_pct_accepted
145,305,2161.0,2466.0,0.12368207623682076
146,412,4043.0,4455.0,0.09248035914702582
147,143,1301.0,1444.0,0.09903047091412742
148,188,1733.0,1921.0,0.09786569495054659
149,32,388.0,420.0,0.0761904761904762
150,328,2985.0,3313.0,0.09900392393600965
151,306,2472.0,2778.0,0.1101511879049676
152,642,4573.0,5215.0,0.12310642377756471
153,153,1130.0,1283.0,0.11925175370226032
154,75,1116.0,1191.0,0.06297229219143577
155,48,507.0,555.0,0.08648648648648649
156,241,2074.0,2315.0,0.1041036717062635
157,53,675.0,728.0,0.07280219780219781
158,60,620.0,680.0,0.08823529411764706
159,83,919.0,1002.0,0.08283433133732535
160,162,1013.0,1175.0,0.13787234042553193
161,145,1366.0,1511.0,0.09596293845135671
162,53,544.0,597.0,0.08877721943048576
163,76,979.0,1055.0,0.07203791469194312
164,73,662.0,735.0,0.09931972789115646
165,106,1047.0,1153.0,0.09193408499566348
166,123,1415.0,1538.0,0.0799739921976593
167,44,339.0,383.0,0.11488250652741515
168,89,913.0,1002.0,0.08882235528942116
169,31,379.0,410.0,0.07560975609756097
170,367,3480.0,3847.0,0.09539901221731219
171,98,1309.0,1407.0,0.06965174129353234
172,123,1205.0,1328.0,0.09262048192771084
173,248,2049.0,2297.0,0.10796691336525903
174,118,1136.0,1254.0,0.09409888357256778
175,167,1593.0,1760.0,0.09488636363636363
176,96,946.0,1042.0,0.09213051823416507
177,73,1015.0,1088.0,0.06709558823529412
178,120,1422.0,1542.0,0.07782101167315175
179,72,981.0,1053.0,0.06837606837606838
180,454,3532.0,3986.0,0.11389864525840442
181,100,1132.0,1232.0,0.08116883116883117
182,102,1180.0,1282.0,0.07956318252730109
183,170,1606.0,1776.0,0.09572072072072071
184,141,1453.0,1594.0,0.08845671267252196
185,89,974.0,1063.0,0.08372530573847602
186,114,1433.0,1547.0,0.07369101486748546
187,88,1138.0,1226.0,0.07177814029363784
188,40,570.0,610.0,0.06557377049180328
189,259,1705.0,1964.0,0.1318737270875764
190,763,6729.0,7492.0,0.10184196476241324
191,769,10713.0,11482.0,0.06697439470475527
193,272,1789.0,2061.0,0.1319747695293547
194,399,2734.0,3133.0,0.12735397382700286
195,146,1282.0,1428.0,0.10224089635854341
196,151,1365.0,1516.0,0.09960422163588391
197,273,2573.0,2846.0,0.09592410400562193
198,148,1545.0,1693.0,0.0874187832250443
199,238,2776.0,3014.0,0.0789648307896483
200,636,3894.0,4530.0,0.1403973509933775
201,1045,5164.0,6209.0,0.16830407473023032
206,378,3008.0,3386.0,0.11163614884819846
207,1091,8695.0,9786.0,0.11148579603515225
208,632,3398.0,4030.0,0.15682382133995038
209,312,1919.0,2231.0,0.13984760197220977
210,687,4610.0,5297.0,0.12969605437039833
211,495,3043.0,3538.0,0.1399095534200113
212,954,8440.0,9394.0,0.10155418352139664
214,90,484.0,574.0,0.156794425087108
215,59,663.0,722.0,0.0817174515235457
216,149,1148.0,1297.0,0.11488049344641481
217,490,3118.0,3608.0,0.13580931263858093
218,130,1190.0,1320.0,0.09848484848484848
219,97,726.0,823.0,0.11786148238153099
220,454,2502.0,2956.0,0.15358592692828146
221,480,2895.0,3375.0,0.14222222222222222
222,234,1046.0,1280.0,0.1828125
223,401,2013.0,2414.0,0.16611433305716652
224,236,1779.0,2015.0,0.11712158808933003
225,230,1577.0,1807.0,0.12728278915329275
226,175,1436.0,1611.0,0.10862818125387957
227,89,612.0,701.0,0.12696148359486448
228,98,874.0,972.0,0.10082304526748971
229,191,1536.0,1727.0,0.11059640995946729
230,193,1524.0,1717.0,0.11240535818287711
231,321,2230.0,2551.0,0.1258330066640533
232,411,4097.0,4508.0,0.0911712511091393
233,196,2187.0,2383.0,0.08224926563155686
234,497,5452.0,5949.0,0.08354345268112288
235,148,2198.0,2346.0,0.06308610400682012
236,273,3728.0,4001.0,0.06823294176455887
237,57,1050.0,1107.0,0.051490514905149054
238,290,2797.0,3087.0,0.09394233884029803
239,52,704.0,756.0,0.06878306878306878
240,234,2247.0,2481.0,0.094316807738815
241,136,1422.0,1558.0,0.08729139922978177
242,77,1100.0,1177.0,0.06542056074766354
243,85,1035.0,1120.0,0.07589285714285714
244,84,964.0,1048.0,0.08015267175572519
245,244,2629.0,2873.0,0.08492864601461887
246,37,484.0,521.0,0.0710172744721689
247,50,469.0,519.0,0.09633911368015415
248,16,196.0,212.0,0.07547169811320754
249,39,276.0,315.0,0.12380952380952381
250,33,476.0,509.0,0.06483300589390963
251,49,406.0,455.0,0.1076923076923077
252,24,305.0,329.0,0.0729483282674772
253,83,693.0,776.0,0.10695876288659793
254,266,1542.0,1808.0,0.14712389380530974
255,84,744.0,828.0,0.10144927536231885
256,19,321.0,340.0,0.05588235294117647
257,44,418.0,462.0,0.09523809523809523
258,54,609.0,663.0,0.08144796380090498
259,29,325.0,354.0,0.08192090395480225
260,88,812.0,900.0,0.09777777777777778
261,78,750.0,828.0,0.09420289855072464
262,60,528.0,588.0,0.10204081632653061
263,79,624.0,703.0,0.112375533428165
264,36,408.0,444.0,0.08108108108108109
265,123,1136.0,1259.0,0.0976965845909452
266,17,217.0,234.0,0.07264957264957266
267,31,321.0,352.0,0.08806818181818182
268,17,223.0,240.0,0.07083333333333333
270,165,1488.0,1653.0,0.0998185117967332
271,168,1558.0,1726.0,0.09733487833140209
272,348,3488.0,3836.0,0.09071949947862357
273,249,2295.0,2544.0,0.09787735849056604
274,213,2349.0,2562.0,0.08313817330210772
275,901,6734.0,7635.0,0.11800916830386378
276,471,3435.0,3906.0,0.1205837173579109
277,210,1772.0,1982.0,0.10595358224016145
