zip_3,Asian,Bachelors_Degree_pct,Black,Families,Family_Households,Family_Poverty_pct,Female_0to9_Years,Female_10to19_Years,Female_20to29_Years,Female_30to39_Years,Female_40to49_Years,Female_50to59_Years,Female_60to69_Years,Female_70p_Years,From_100000_to_149999,From_150000_to_199999,From_200000_or_more,From_25000_to_49999,From_50000_to_74999,From_75000_to_99999,Graduate_Degree_pct,High_School_pct,Hispanic,Householder_living_with_unrelated,Households,Households.1,Househoulder_living_alone,Housing_Units,Islander,Less_than_24999,Male_0to9_Years,Male_10to19_Years,Male_20to29_Years,Male_30to39_Years,Male_40to49_Years,Male_50to59_Years,Male_60to69_Years,Male_70p_Years,Married_couple_child_under_18,Married_couple_families,Married_couple_no_child_under_18,Median_household_inc,Native,No_Diploma_pct,Non_families,Other,Population_25_Years_and_Over,Single_parent_child_under_18,Single_parent_families,Single_parent_no_child_under_18,Some_College_pct,Two,Unemployment_Rate_pct,White,labor_over_16_years,nonwhite_pct
010,0.0279073072379582,0.1980434782608696,0.023015534653201525,0.24452423459191558,0.24452423459191558,0.0672608695652174,0.04847362484123389,0.06466776803716237,0.07578583673070603,0.05549264124632507,0.06663957650528037,0.07814179256930197,0.06237176583442138,0.0663065007505307,0.06341984420936699,0.023373035963299493,0.018028280352083276,0.0824562338458259,0.06542273974792827,0.05319885954861574,0.15841304347826082,0.29363043478260875,0.11046568431524066,0.03131578246156306,0.38815982307015906,0.38815982307015906,0.11231980601668043,0.4184985833177898,0.0003463987849396467,0.08226082940303943,0.051755531278033874,0.06274703118477266,0.07541723289544974,0.053489745707763776,0.06136365655004574,0.07264604261593256,0.05990478474424223,0.04479646850879764,0.06347535683515859,0.17881949070496594,0.11534413386980735,6.838671427429454,0.0010813859504205637,0.07071739130434783,0.14363558847824348,0.002249371597076039,0.6839599598532691,0.03504845141979092,0.06570474388694965,0.03065629246715873,0.27919565217391307,0.014799666036043237,0.06578260869565217,0.8201346514251201,0.5418209917663673,0.1798653485748799
011,0.023935982287961937,0.12816666666666668,0.17167958169442024,0.23575028852721577,0.23575028852721577,0.24991666666666665,0.0671385166168123,0.08037543867913419,0.07759615611088866,0.0675271451115246,0.0653131403537697,0.06732694255364251,0.05254728313352333,0.04925571754952069,0.03384012059259957,0.012924841604446851,0.01080504981510705,0.08577501943142474,0.05339519984925925,0.035512400781967636,0.1025,0.2745,0.3952351791224062,0.020338224556610218,0.36290246602444826,0.36290246602444826,0.10681395294062228,0.39909202251689946,7.654803683727065e-05,0.13064983394964316,0.06756247497468026,0.08184751631062016,0.07519372541630355,0.05589773182278541,0.05887132863838707,0.05861813128577149,0.040287820618508136,0.03464093082412794,0.0455814117813317,0.11830204677673882,0.07272063499540712,3.175695409473114,0.0013837529735968156,0.21308333333333332,0.12715217749723248,0.0015721789104270203,0.6144628683138234,0.0698471394587465,0.11744824175047695,0.04760110229173046,0.2823333333333333,0.023794662835339285,0.12258333333333335,0.38232211413901124,0.45728030713427703,0.6176778858609888
012,0.015300947924070244,0.20304,0.025011779174419626,0.2558995695610161,0.2558995695610161,0.056200000000000014,0.044545244008592805,0.05876011212176871,0.05741049823911325,0.05080617468316017,0.06410266648565337,0.08345245605769,0.07456417054647384,0.0827816420568435,0.05425607525894219,0.01925395900048714,0.019421662500698763,0.10315362439207482,0.07664049959671301,0.052746743757037556,0.16892,0.29896,0.04147067983804634,0.027032207057921594,0.42825085249279277,0.42825085249279277,0.14531907587385504,0.5278507598565736,0.0003992940481229187,0.10277828798683927,0.046437897796695445,0.06024548598078597,0.060085768361536805,0.05042285239696217,0.05975036136111355,0.0768161889778871,0.0681834516574696,0.061635029268253726,0.05343352951980898,0.18397073973215355,0.13053721021234457,12.569177693837295,0.002076329050239177,0.075,0.17235128293177662,0.001173924501481381,0.724135728032838,0.038100638071888904,0.07192882982886258,0.03382819175697367,0.25412000000000007,0.020603572883142605,0.06015999999999999,0.8939634725804777,0.5360522596050183,0.1060365274195223
013,0.013542781747118425,0.18541666666666665,0.00918618835420349,0.2527944434763126,0.2527944434763126,0.06308333333333334,0.04579402026438298,0.05566481615175882,0.05499265602828052,0.056436555552789466,0.07015360103562449,0.08603649580522293,0.07805770619134159,0.06327018347481889,0.059672882073240556,0.015957579227762704,0.01236027782618437,0.09757524459160048,0.08046005626229182,0.06043217406457716,0.15833333333333333,0.2952083333333334,0.03935870945256292,0.03993129029848889,0.4261121760561627,0.4261121760561627,0.13338644228136126,0.4787647190619632,0.0007343971719485175,0.09965396201050561,0.04995145510219323,0.05695934675993926,0.06170180985336952,0.055739500609923075,0.06182628395030994,0.08546391495929698,0.07139834200502876,0.046553312255719584,0.062087679553884834,0.18876496801015707,0.12667728845627224,18.075941646543356,0.002103612238293211,0.07074999999999998,0.17331773257985014,0.0012571883790983096,0.733650327366875,0.03445443003311011,0.06402947546615549,0.029575045433045382,0.2902916666666666,0.016617291941546965,0.061833333333333344,0.9171998307152281,0.5462172321939804,0.08280016928477185
014,0.025253994014840943,0.19815789473684214,0.024320571873504882,0.25570607052731315,0.25570607052731315,0.06768421052631579,0.05926996069307767,0.0643029353546535,0.057576667260804716,0.057576667260804716,0.07297109674756325,0.08363743820182556,0.055634773961743766,0.05621640383875719,0.06743154122536281,0.02750077394298151,0.023598225090762405,0.06815388800810529,0.06206553655356155,0.05424167659502613,0.13384210526315793,0.2978421052631579,0.10359109543420547,0.026501683912305226,0.37857538204639907,0.37857538204639907,0.09636762760678068,0.4130369522594444,0.0,0.07558374063059936,0.0552079326810323,0.07061643385836375,0.060245597906132445,0.05790500670750584,0.07208927080499451,0.08187378631668808,0.0531253224762423,0.04175070592981041,0.07522725780275243,0.19243974971153036,0.11721249190877792,7.279454393650854,0.0012242370798427723,0.0801578947368421,0.12286931151908591,0.002373425143296716,0.6917549274369823,0.03545596968019738,0.0632663208157828,0.02781035113558543,0.2899473684210526,0.01879508804187735,0.06494736842105263,0.8244415884124319,0.5416662757863729,0.17555841158756813
015,0.04634233327039671,0.23290697674418603,0.018225397025195628,0.25986793798644764,0.25986793798644764,0.04279069767441861,0.051802085300102794,0.06997503513961441,0.05349612939769652,0.05803018860007972,0.07903266410724401,0.08037793442003902,0.05687110579646296,0.05665869469444269,0.07517517360018461,0.03621478171481318,0.03417720855098915,0.06237281557471626,0.059962867392535715,0.049268886231564814,0.15253488372093021,0.28102325581395354,0.0576368347074496,0.019489374200180418,0.36713292214739757,0.36713292214739757,0.08777560996076951,0.39456542261942223,9.964965279963077e-05,0.04996118908259383,0.0585992405647513,0.06856945056328277,0.06079940000419577,0.05780466570163845,0.07283340675939329,0.08026517297081838,0.05464734512346067,0.040237480856777225,0.08604485283319697,0.2066104432836134,0.12056559045041643,9.470451255585624,0.0011354815700589506,0.07058139534883721,0.10726498416094993,0.002124111020202656,0.6902574107873372,0.02684771435164789,0.053257494702834245,0.026409780351186355,0.263046511627907,0.016216669813497807,0.056930232558139546,0.858219522940399,0.5568789728743155,0.14178047705960095
016,0.068692681172451,0.1877,0.11857791129399071,0.20899224642203582,0.20899224642203582,0.1754,0.05449718099791616,0.06420237578937348,0.09423294583073294,0.06581021187471572,0.06033616467626432,0.06651364016205295,0.04546896982133979,0.05594634904852069,0.045014121455091656,0.015126352644996139,0.013153580079757133,0.08367094365169193,0.0634301913536499,0.040968086569279756,0.12420000000000002,0.28340000000000004,0.20435913980769435,0.03498101272517638,0.37483207632990256,0.37483207632990256,0.13085881718269038,0.4120503083448808,0.0003173360694754435,0.11346880057543607,0.06040492082465067,0.07250600294064757,0.09092736177369708,0.06603234712334853,0.06204977945143172,0.06302823233231433,0.04297788167595756,0.0350656356770365,0.05309032442324169,0.1295894729047886,0.0764991484815469,2.5852417571955955,0.002083840189555412,0.1618,0.16583982990786675,0.004268170134444715,0.6469424669706041,0.04120608862138633,0.07940277351724721,0.03819668489586088,0.2431,0.01913536498936924,0.0947,0.5825655563430191,0.5079492685403598,0.4174344436569809
017,0.0818332747423064,0.31383333333333324,0.025308757605072528,0.2639367524832759,0.2639367524832759,0.03374999999999999,0.059875752809161756,0.06729671265848446,0.04925751911051123,0.058554247165177944,0.07938271573258884,0.08186663313720308,0.05821296512508115,0.056778554144523964,0.0719566238225128,0.04704560092582376,0.06919814116759514,0.052916678427639224,0.047610127608690635,0.04117708945438496,0.3162499999999999,0.1457083333333333,0.07426605116151365,0.018973228605080227,0.3766906932644269,0.3766906932644269,0.09378071217607074,0.39263857205541597,0.00021298052126341073,0.04678643185778033,0.06360676097683644,0.06895180225143505,0.048331182144534225,0.05903922690636812,0.0758698201469309,0.07930573482128882,0.05223154831706898,0.04143882455280506,0.10607712974106187,0.22063498987701016,0.11455786013594829,7.286861667868425,0.0008493560546769753,0.04120833333333333,0.11275394078115097,0.006517717156735702,0.6951068366747326,0.022542576859024856,0.04330176260626573,0.020759185747240876,0.18358333333333335,0.022930047445901665,0.043916666666666666,0.7880818153125296,0.5529076973213208,0.21191818468747037
018,0.08079408489431636,0.22790624999999998,0.027544937594342355,0.25207065055659467,0.25207065055659467,0.07443749999999998,0.05972872491553793,0.06502872855121115,0.06121127166423615,0.06358253853476983,0.07519245503547474,0.07662921923244205,0.05382277574224962,0.053157582196512176,0.06653955275833141,0.03689939014948003,0.03728046256535796,0.0575311624324539,0.05363021971585194,0.044302698073497154,0.16443750000000001,0.26228124999999997,0.1616474177967551,0.019940994370092682,0.35696924893723886,0.35696924893723886,0.08495760401055154,0.37479751319951365,0.00016158547669735445,0.06078576324226645,0.06170545391380223,0.07138307742233461,0.06763025472603856,0.06111701346949603,0.06924341640173381,0.07375165120159,0.04940879913713356,0.03740703785543755,0.08188344031638436,0.18635249063814144,0.10446905032175709,3.681764136372756,0.0009210372171749203,0.10050000000000002,0.10489859838064422,0.004444947154816392,0.6768990669785266,0.033815800635838854,0.0657181599184532,0.03190235928261435,0.2450625,0.014338017965611918,0.06646875,0.7101479719002856,0.5535878035282189,0.28985202809971444
019,0.030580511047307378,0.26679310344827584,0.035781544256120526,0.2511314871414899,0.2511314871414899,0.059896551724137936,0.05326582486904799,0.06024718800489848,0.06284461733197493,0.05858623280129254,0.06963251108847107,0.08109865909254628,0.06467434369629424,0.07041462134543545,0.06648760458151956,0.033999156144196435,0.037240797340825124,0.06662756115381845,0.06187109588054295,0.04978955059532998,0.1890344827586207,0.2245172413793103,0.11553620861762012,0.022685313821740608,0.3872330791474998,0.3872330791474998,0.11341627818426929,0.41712821462752,0.00032519321210624353,0.07121731345126733,0.05598674528932934,0.06387165159046237,0.05987877291017052,0.05573153036337254,0.0657363670978564,0.07499614090333735,0.05731633272616879,0.04571846088934169,0.07341133854054109,0.1901289452831548,0.1167176067426137,5.073627447953649,0.0008767867617548085,0.07010344827586207,0.1361015920060099,0.0038776203266339417,0.7024543854774474,0.030837784158150926,0.06100254185833513,0.030164757700184206,0.24955172413793106,0.01567101972770214,0.05703448275862067,0.7973511160507548,0.5475471581612176,0.20264888394924518
